Client,Size(MB),StartDate,EndDate
A,717667.7,3/10/21,3/12/21
B,362759.64,3/10/21,3/18/21
C,227758.08,3/22/21,3/22/21
D,206579.7,3/26/21,3/27/21
E,1265667.7,3/28/21,3/29/21
F,762643.7,3/30/21,3/31/21
G,637071.7,3/28/21,3/29/21
H,216439.7,3/31/21,3/31/21
I,2261492.64,3/23/21,3/26/21
K,8662699.29,3/17/21,3/29/21
L,6088488.96,3/23/21,3/29/21
N,1074629.95,3/16/21,3/31/21
O,1098070.14,3/28/21,3/31/21
P,4682885.513,3/30/21,3/31/21
R,235724.15,3/30/21,3/31/21
S,2371.88,3/5/21,3/31/21
T,150029.8228,3/5/21,3/31/21